account_id,customer_id,avg_balance,account_open_days
A164,C1016,31017.33,1011
A165,C2103,6801.41,1495
A166,C1815,14936.88,1683
A167,C1640,3381.28,1133
A168,C469,36030.21,90
A169,C2885,18562.87,1587
A170,C2573,91352.27,1260
A171,C689,11754.47,190
A172,C2426,27965.84,1889
A173,C233,13075.5,169
A174,C596,54545.9,333
A175,C2498,6477.5,1335
A176,C2293,22499.82,908
A177,C1268,13886.99,171
A178,C1040,2346.48,367
A179,C1409,8639.15,1565
A180,C2376,80054.74,1952
A181,C2150,62854.65,807
A182,C1689,18762.25,1931
A183,C548,97413.75,922
A184,C242,33973.21,1468
A185,C1353,44683.76,1285
A186,C1614,21750.77,913
A187,C2406,9822.88,1405
A188,C1661,19583.25,716
A189,C1782,87563.15,123
A190,C659,16512.9,1094
A191,C2709,1487.42,409
A192,C995,30640.14,1024
A193,C2596,12753.46,951
A194,C2054,1589.07,1210
A195,C820,15888.71,763
A196,C1504,15760.15,1829
A197,C2387,19802.21,952
A198,C368,34419.89,486
A199,C1908,15395.12,279
A200,C844,23163.29,1933
A201,C363,8733.02,1138
A202,C1434,6622.21,33
A203,C790,21839.05,60
A204,C379,12568.51,319
A205,C2261,11470.08,471
A206,C2119,8496.43,1194
A207,C2537,20670.23,1143
A208,C1994,4934.93,82
A209,C465,9945.93,1416
A210,C2213,8518.68,1197
A211,C2112,92599.87,617
A212,C1140,32668.07,1831
A213,C977,23631.09,691
A214,C2731,120148.12,241
A215,C550,4941.78,561
A216,C373,31232.02,1229
A217,C295,67043.36,1040
A218,C2918,17937.08,1996
A219,C296,13785.93,214
A220,C979,13931.15,1902
A221,C1388,28840.7,152
A222,C2407,26593.55,1888
A223,C348,14154.62,856
A224,C1063,67443.6,1894
A225,C1818,70576.65,1353
A226,C1933,41641.24,1906
A227,C2475,3551.07,864
A228,C177,23058.47,1845
A229,C1267,18013.35,405
A230,C2656,6433.17,1733
A231,C1859,32900.93,1921
A232,C2763,6893.89,812
A233,C2508,47479.61,251
A234,C2893,54681.83,1906
A235,C2472,19105.86,1060
A236,C1500,106294.71,1359
A237,C940,6252.95,1124
A238,C1146,110870.82,1772
A239,C1697,27197.34,1575
A240,C2477,17917.92,389
A241,C1425,17521.64,1661
A242,C1543,107459.46,1369
A243,C359,23169.07,1205
A244,C1943,15859.48,1337
A245,C599,216262.75,449
A246,C1411,25662.03,695
A247,C253,212808.94,586
A248,C1702,18694.8,1488
A249,C666,36778.43,332
A250,C2097,8424.37,164
A251,C2873,9957.58,1975
A252,C125,18740.51,1829
A253,C2720,4509.14,1069
A254,C881,12460.86,821
A255,C2470,8036.22,1018
A256,C2289,13034.66,1947
A257,C2539,59882.9,1645
A258,C1980,17150.67,1686
A259,C2758,14882.58,1080
A260,C43,8382.45,1655
A261,C564,33955.78,1097
A262,C262,26937.03,174
A263,C1741,91690.36,437
A264,C185,33276.27,1220
A265,C1129,53415.65,1113
A266,C957,29081.48,717
A267,C577,99598.23,158
A268,C2178,5272.29,1296
A269,C410,32708.12,777
A270,C1524,8173.04,597
A271,C2605,4621.89,1923
A272,C2977,18711.22,562
A273,C1914,7987.77,980
A274,C2846,48843.13,1327
A275,C2124,26304.75,1240
A276,C2397,9967.54,109
A277,C2673,10149.54,192
A278,C1958,44563.04,491
A279,C565,24339.81,1449
A280,C2290,74316.05,1959
A281,C2978,10816.93,729
A282,C1359,215267.0,334
A283,C1473,10855.96,1767
A284,C1476,2476.59,1237
A285,C1032,24694.83,1087
A286,C701,114809.18,1141
A287,C2812,10460.59,103
A288,C1194,5701.67,61
A289,C781,2227.22,434
A290,C1809,6521.81,1673
A291,C2578,16647.82,1418
A292,C873,21146.73,834
A293,C486,29609.75,1102
A294,C2143,86291.32,1101
A295,C1801,8066.11,1284
A296,C1062,46660.77,741
A297,C1861,18551.09,1884
A298,C2694,96856.73,591
A299,C997,28927.29,1287
A300,C1083,31301.89,45
A301,C1833,30496.25,999
A302,C1409,10651.59,1173
A303,C2820,8266.48,1308
A304,C480,21033.83,1345
A305,C1120,7751.21,237
A306,C2128,98538.66,1471
A307,C357,5387.34,735
A308,C2264,26451.08,1425
A309,C1373,27595.02,807
A310,C1243,12755.61,432
A311,C307,15058.05,583
A312,C647,25812.38,1321
A313,C1974,53509.87,1692
A314,C61,25122.0,1316
A315,C2218,30441.51,1595
A316,C1617,22634.68,1354
A317,C106,313843.98,1034
A318,C2409,6576.37,1834
A319,C2492,2111.43,1478
A320,C797,87838.94,648
A321,C2056,73309.1,1041
A322,C107,30300.66,1167
A323,C1337,5420.72,238
A324,C1609,85202.87,971
A325,C17,51161.33,1004
A326,C1793,44470.27,88
A327,C536,81746.55,730
A328,C201,12490.59,648
A329,C1365,7455.15,835
A330,C549,25348.45,440
A331,C2437,19309.57,242
A332,C2970,11179.97,428
A333,C136,23961.32,1315
A334,C2130,6454.03,170
A335,C2091,18796.25,1981
A336,C2939,54728.97,1493
A337,C51,5175.04,1362
A338,C2986,9066.08,1136
A339,C1595,7720.34,133
A340,C2356,3787.31,192
A341,C853,26640.95,92
A342,C2326,17335.98,929
A343,C2338,7434.34,335
A344,C1237,34259.69,1100
A345,C463,11446.32,267
A346,C893,22718.99,57
A347,C2550,12090.68,1202
A348,C1763,27830.51,349
A349,C2272,56270.28,600
A350,C2270,5655.73,718
A351,C2927,21931.21,1516
A352,C2742,14499.47,1388
A353,C1640,11762.75,1332
A354,C2016,17184.39,1425
A355,C661,11750.08,1540
A356,C1716,62222.62,1786
A357,C2228,16518.52,1029
A358,C2432,15604.8,1772
A359,C1607,101473.33,1835
A360,C2241,38863.65,467
A361,C65,11472.14,1091
A362,C494,14475.88,1828
A363,C542,23946.06,821
A364,C2427,15515.02,1381
A365,C719,11237.3,1876
A366,C660,17458.42,1146
A367,C2073,9010.19,958
A368,C846,89001.31,1529
A369,C2679,69393.51,774
A370,C1489,9264.03,1147
A371,C500,47481.85,791
A372,C1995,14473.66,556
A373,C1353,6723.84,1074
A374,C2364,17861.53,294
A375,C1893,43510.52,652
A376,C2577,72857.64,1790
A377,C2520,18053.16,1628
A378,C1032,18826.59,308
A379,C2628,45779.54,789
A380,C2445,59315.75,1625
A381,C1405,4068.84,590
A382,C1831,66069.57,256
A383,C517,6928.85,739
A384,C2634,59747.5,278
A385,C586,93881.23,1079
A386,C1011,22575.64,1123
A387,C1923,10238.79,797
A388,C465,15447.73,1013
A389,C1510,66492.92,582
A390,C2249,9439.59,1468
A391,C183,3930.43,1624
A392,C367,33988.95,549
A393,C2857,21024.39,880
A394,C2652,11247.05,1060
A395,C1980,52559.07,1787
A396,C105,48907.53,1774
A397,C2436,22830.34,221
A398,C2719,17572.69,1299
A399,C1122,10160.78,499
A400,C1458,17824.7,621
A401,C1444,2332.64,1943
A402,C794,4948.9,495
A403,C1037,10073.37,952
A404,C750,30339.17,1649
A405,C576,2561.44,184
A406,C245,14587.53,1697
A407,C2750,45853.17,1717
A408,C2882,20380.25,1444
A409,C2607,9170.44,421
A410,C1791,68710.08,106
A411,C1687,54952.94,1818
A412,C1729,64152.98,1172
A413,C1024,18910.88,1797
A414,C951,12409.92,650
A415,C875,5952.78,547
A416,C2420,13354.75,466
A417,C392,15744.19,320
A418,C628,20972.15,105
A419,C2108,63687.12,593
A420,C1863,25591.7,893
A421,C134,22908.62,236
A422,C2323,7669.77,127
A423,C1815,8518.64,1264
A424,C2023,18599.59,1984
A425,C2255,32795.55,498
A426,C1591,32483.55,1775
A427,C16,15299.63,1710
A428,C939,15261.43,1297
A429,C1876,2551.33,1936
A430,C139,164840.56,1778
A431,C1887,18720.52,451
A432,C411,6339.98,563
A433,C261,6634.63,136
A434,C1566,20849.91,891
A435,C2173,11513.71,1443
A436,C809,23573.98,1958
A437,C628,4960.96,1258
A438,C815,18320.39,324
A439,C1335,72944.34,1825
A440,C2056,11405.84,669
A441,C799,7813.43,1706
A442,C262,7317.28,1496
A443,C322,9345.22,877
A444,C715,15320.03,537
A445,C2362,67045.11,149
A446,C2443,58766.01,815
A447,C2020,4430.33,1897
A448,C869,16625.04,986
A449,C2384,6333.65,603
A450,C2239,16623.19,1560
A451,C1351,9248.81,897
A452,C1806,37103.55,1782
A453,C828,17886.88,1997
A454,C2748,70943.2,561
A455,C2068,25717.61,1626
A456,C2768,103396.87,1201
A457,C1073,23524.15,507
A458,C602,8902.25,1770
A459,C2060,98050.02,1217
A460,C1496,17389.65,471
A461,C405,3046.58,1936
A462,C1258,32567.42,522
A463,C1048,66836.95,1650
A464,C2141,9438.76,1531
A465,C2528,16610.1,256
A466,C62,40457.47,1723
A467,C785,21994.54,817
A468,C1383,21455.99,897
A469,C611,4272.98,658
A470,C827,6746.56,1953
A471,C1159,5303.18,172
A472,C532,50853.72,1025
A473,C1188,27376.07,1637
A474,C1031,18826.62,1971
A475,C383,57806.75,430
A476,C2096,108703.5,1554
A477,C1386,25661.99,876
A478,C1540,6424.56,754
A479,C759,18063.06,1269
A480,C1273,2436.25,787
A481,C2973,10803.24,251
A482,C1458,19232.39,1332
A483,C1324,4064.02,797
A484,C2395,25944.47,399
A485,C772,46841.57,1215
A486,C1057,11166.04,373
A487,C152,11760.66,1387
A488,C845,48836.52,976
A489,C2427,34423.43,1594
A490,C245,77412.88,158
A491,C1337,67852.31,243
A492,C80,5559.98,669
A493,C700,11338.7,1462
A494,C1018,7300.45,559
A495,C690,16100.99,1449
A496,C2691,4326.76,1715
A497,C2157,18543.27,1277
A498,C52,15998.24,841
A499,C1696,41640.23,1422
A500,C414,95618.37,873
A501,C1284,111992.91,83
A502,C404,2263.01,1589
A503,C379,27181.29,1869
A504,C1384,21781.08,42
A505,C287,5151.06,1020
A506,C2554,99572.69,683
A507,C1099,14152.49,1068
A508,C527,39668.85,1643
A509,C307,62860.43,1779
A510,C1342,17639.91,1808
A511,C21,113582.95,1980
A512,C1435,2825.04,795
A513,C2379,73104.07,1365
A514,C2480,5944.52,568
A515,C507,52797.51,1964
A516,C2941,8220.17,1209
A517,C2347,15521.4,1961
A518,C1054,49899.62,1838
A519,C948,53917.1,1876
A520,C716,136140.34,1927
A521,C1419,108141.7,66
A522,C2881,8617.72,1908
A523,C2392,16644.74,1675
A524,C1487,51842.16,1697
A525,C1809,26819.22,969
A526,C2697,11413.43,1366
A527,C1389,27476.03,396
A528,C1714,48699.22,412
A529,C845,55498.76,392
A530,C2765,101712.3,1952
A531,C172,10187.39,505
A532,C2345,21670.02,1820
A533,C2214,36253.01,679
A534,C1429,5738.92,684
A535,C2459,12140.26,1400
A536,C1187,15442.9,822
A537,C818,6798.3,188
A538,C993,5441.46,1935
A539,C857,78543.52,1245
A540,C1695,4944.51,785
A541,C2473,63533.63,467
A542,C846,43037.86,617
A543,C41,9739.53,1070
A544,C607,47886.54,194
A545,C119,11063.86,1349
A546,C2672,15440.9,259
A547,C2527,12783.24,410
A548,C309,11408.86,723
A549,C1140,61229.66,1125
A550,C1013,26361.04,561
A551,C1121,40550.83,1305
A552,C1090,30020.63,991
A553,C1008,498949.66,84
A554,C1668,7812.22,993
A555,C843,39102.46,1558
A556,C2080,114153.22,858
A557,C2050,11759.47,510
A558,C98,22549.77,633
A559,C359,120653.86,775
A560,C2423,188073.03,233
A561,C2618,107988.51,1291
A562,C1278,235749.25,1841
A563,C2980,37749.29,891
A564,C593,29111.86,1190
A565,C2411,82279.35,410
A566,C361,139398.86,1060
A567,C651,12236.63,333
A568,C920,203684.56,956
A569,C2264,33132.77,206
A570,C53,9563.3,241
A571,C2532,126493.52,451
A572,C1880,20553.57,793
A573,C342,10679.4,254
A574,C1746,57715.5,1765
A575,C1836,14976.26,131
A576,C779,9302.87,1290
A577,C410,101398.0,1933
A578,C2120,6431.69,433
A579,C1952,24008.13,1603
A580,C2798,78369.77,1025
A581,C511,37429.24,53
A582,C2957,7791.07,1870
A583,C327,14012.24,1013
A584,C224,12023.71,1172
A585,C1080,55193.78,1461
A586,C1212,6911.13,112
A587,C962,240635.28,737
A588,C2312,17114.11,567
A589,C1801,20643.05,437
A590,C1730,6096.87,1098
A591,C1572,30287.9,549
A592,C2596,14627.42,1010
A593,C2407,12520.52,1789
A594,C2074,4172.18,181
A595,C948,98108.03,160
A596,C160,24419.25,1690
A597,C206,6708.99,828
A598,C2553,11623.41,1617
A599,C2159,49816.86,465
A600,C87,20714.03,1979
A601,C921,34765.21,1391
A602,C1660,7146.16,125
A603,C1392,62211.38,1001
A604,C314,4479.47,734
A605,C405,19513.97,882
A606,C2304,3348.02,440
A607,C414,33109.93,1745
A608,C476,35179.02,1068
A609,C1236,21294.57,1345
A610,C2647,37025.52,765
A611,C2580,52929.42,1545
A612,C1051,7359.17,1920
A613,C259,14062.61,1097
A614,C2342,7957.37,1014
A615,C1439,67955.15,1892
A616,C2780,2784.29,1490
A617,C349,6566.72,1580
A618,C554,10122.95,1356
A619,C956,13659.76,1661
A620,C2831,89051.12,1946
A621,C2541,7459.67,1218
A622,C1613,16603.11,79
A623,C2543,22473.58,1615
A624,C1042,42504.34,377
A625,C770,19977.0,1295
A626,C2686,27654.59,138
A627,C2653,22581.73,185
A628,C2109,28541.19,52
A629,C1765,26100.53,227
A630,C1159,4143.41,1079
A631,C1650,27139.74,1766
A632,C2857,18750.55,905
A633,C2918,17013.32,1790
A634,C164,36657.81,269
A635,C1886,57712.58,1035
A636,C175,87888.06,1381
A637,C1247,27411.43,1339
A638,C1100,20994.17,1978
A639,C1434,28656.21,1621
A640,C161,5357.81,867
A641,C2931,15443.98,1289
A642,C853,7103.45,1052
A643,C1361,178550.35,47
A644,C1105,56911.2,1474
A645,C745,31386.41,1505
A646,C2461,88335.81,1512
A647,C1464,80562.32,1514
A648,C2542,31597.34,1620
A649,C642,64694.54,1408
A650,C1605,33929.43,1328
A651,C1610,77642.24,480
A652,C2828,16878.85,1595
A653,C2577,25978.92,981
A654,C2981,34049.35,1565
A655,C152,53112.48,1983
A656,C805,11127.69,445
A657,C574,31433.71,1776
A658,C2510,10811.37,253
A659,C2234,23909.21,564
A660,C268,3526.4,878
A661,C550,2365.86,1045
A662,C782,13578.45,715
A663,C616,22593.11,1404
A664,C2165,7275.19,1265
A665,C1767,201723.7,1273
A666,C1616,7453.75,1994
A667,C1484,7403.93,199
A668,C2509,19691.76,643
A669,C94,12140.59,818
A670,C676,29524.43,1576
A671,C375,7539.73,323
A672,C2479,46222.93,381
A673,C2313,5221.85,1239
A674,C941,10001.84,510
A675,C1330,15437.58,853
A676,C2638,7250.15,581
A677,C802,31280.86,131
A678,C1138,20959.87,1995
A679,C794,40698.51,1999
A680,C685,6813.85,293
A681,C2035,14906.51,1806
A682,C176,17894.0,1324
A683,C2023,45777.7,1452
A684,C396,22901.26,304
A685,C2120,34776.83,1758
A686,C2761,37560.19,673
A687,C1952,73612.29,1207
A688,C608,26503.42,159
A689,C1436,3612.54,1539
A690,C758,13100.88,843
A691,C1221,115515.41,436
A692,C726,14982.84,795
A693,C811,42399.89,576
A694,C2072,144165.22,1303
A695,C668,17130.52,1926
A696,C2938,19274.97,556
A697,C2722,13187.99,154
A698,C752,75792.21,1177
A699,C110,24630.17,482
A700,C752,9548.5,616
A701,C2050,13677.92,1177
A702,C1479,11062.32,1860
A703,C679,5651.88,673
A704,C1453,45266.15,1917
A705,C1381,67260.78,154
A706,C2071,131041.0,329
A707,C2836,14299.43,420
A708,C2908,62353.09,1665
A709,C2875,267108.43,1655
A710,C1074,2856.69,1698
A711,C743,7977.03,329
A712,C1369,8824.48,791
A713,C141,170878.34,614
A714,C259,37071.54,575
A715,C2912,23178.44,284
A716,C1196,18270.87,346
A717,C2007,12984.97,1960
A718,C998,7565.09,455
A719,C2490,16415.33,686
A720,C1542,6153.25,410
A721,C2489,42588.13,177
A722,C1901,27073.15,334
A723,C1343,31279.06,1749
A724,C1017,153519.36,1849
A725,C1811,75445.53,124
A726,C673,48795.11,1537
A727,C665,45328.5,1782
A728,C76,19384.87,1973
A729,C728,77515.47,1027
A730,C1685,33326.42,1709
A731,C1567,17119.89,1693
A732,C22,22604.55,778
A733,C2619,33906.46,1910
A734,C2653,12754.52,1619
A735,C1183,58345.3,900
A736,C12,353304.86,240
A737,C928,7523.55,960
A738,C2728,12393.54,366
A739,C1442,18320.75,1238
A740,C2433,26735.8,1237
A741,C345,11173.96,1222
A742,C2965,71489.21,1338
A743,C1582,19791.83,378
A744,C2222,66293.64,766
A745,C2138,51799.2,1840
A746,C1721,16064.24,317
A747,C1423,39215.95,1519
A748,C2462,248399.02,1485
A749,C2373,16017.63,912
A750,C1152,11020.8,1932
A751,C611,205892.71,888
A752,C189,19075.24,149
A753,C2214,8779.76,857
A754,C1198,3026.05,207
A755,C2473,41709.26,288
A756,C224,28975.34,448
A757,C2165,3823.91,1107
A758,C1322,27799.34,970
A759,C2262,3538.94,188
A760,C2372,42165.8,754
A761,C2503,78869.78,1675
A762,C1808,25508.43,1829
A763,C142,96578.38,110
A764,C2985,4078.37,493
A765,C1393,2782.89,1361
A766,C1981,59109.11,1729
A767,C1733,4738.08,907
A768,C2145,18381.03,1356
A769,C1106,132220.77,1008
A770,C2996,42273.02,1345
A771,C1315,17229.77,1259
A772,C1742,17859.52,365
A773,C2814,68071.38,1189
A774,C2935,9200.52,1915
A775,C86,29843.83,395
A776,C59,25028.74,661
A777,C2978,27954.28,1522
A778,C1703,17575.46,693
A779,C2646,9826.18,1609
A780,C1454,4857.55,32
A781,C474,60364.74,567
A782,C74,15790.06,56
A783,C1396,63179.97,1089
A784,C2776,39134.64,349
A785,C2467,2395.62,966
A786,C540,38927.75,1010
A787,C1022,15896.84,518
A788,C719,47817.28,1051
A789,C1694,7695.45,921
A790,C462,51092.72,625
A791,C1156,138720.8,943
A792,C591,3118.66,1522
A793,C2764,17774.74,1620
A794,C1942,25660.22,1823
A795,C1196,50376.38,455
A796,C999,49159.53,575
A797,C1348,10624.87,1427
A798,C1256,25835.45,1156
A799,C1297,52898.04,742
A800,C523,9821.5,153
A801,C1587,23564.87,1776
A802,C2111,16749.45,738
A803,C2781,21962.91,582
A804,C2841,3064.1,1369
A805,C1784,43026.56,222
A806,C2935,19401.56,233
A807,C55,48575.27,1280
A808,C377,56418.78,1066
A809,C1731,50174.07,1147
A810,C956,51848.18,1778
A811,C154,53153.79,1729
A812,C1582,102269.08,1660
A813,C704,14950.56,157
A814,C2680,3633.35,1015
A815,C2819,21803.47,1227
A816,C1299,24478.87,968
A817,C28,49020.83,317
A818,C1762,30207.32,613
A819,C2950,16620.16,1893
A820,C2896,64542.92,1742
A821,C400,18957.12,1385
A822,C227,5777.89,1297
A823,C822,2791.17,956
A824,C1499,12398.74,31
A825,C1103,195962.02,216
A826,C784,21414.97,1936
A827,C2474,13247.9,833
A828,C153,24645.6,525
A829,C2737,4330.66,1655
A830,C769,114677.85,1584
A831,C2315,6890.43,248
A832,C106,7884.42,1031
A833,C821,13708.88,1860
A834,C458,84610.65,96
A835,C2589,65408.24,1056
A836,C469,43617.11,75
A837,C1334,38192.06,357
A838,C2058,3199.17,1138
A839,C198,101326.85,121
A840,C1322,34961.95,38
A841,C1492,13370.3,1705
A842,C1205,8031.04,1303
A843,C141,37748.71,1593
A844,C1905,6886.1,1461
A845,C1238,14880.35,994
A846,C2734,153290.69,43
A847,C1636,13460.49,925
A848,C1078,28067.4,1395
A849,C519,20312.95,1523
A850,C2147,85998.02,504
A851,C166,12921.88,378
A852,C1321,61688.28,666
A853,C2718,70377.2,1849
A854,C2782,42460.6,1882
A855,C1990,18054.35,118
A856,C945,54676.93,1995
A857,C1258,10811.27,954
A858,C1683,2419.59,746
A859,C2265,43838.08,638
A860,C1248,9271.19,1576
A861,C1020,22252.48,1217
A862,C73,30207.37,1978
A863,C2291,95319.48,748
A864,C1737,6287.12,222
A865,C1768,77514.65,1041
A866,C2839,32668.13,1059
A867,C894,15679.66,1783
A868,C2712,17108.49,1892
A869,C2258,24329.85,1758
A870,C2799,61465.16,870
A871,C1208,34592.38,493
A872,C872,9363.62,1680
A873,C1895,9255.75,1236
A874,C2062,22278.49,300
A875,C1763,5861.56,1026
A876,C933,173749.77,1010
A877,C1578,134987.65,821
A878,C2909,19784.62,1464
A879,C2343,47892.68,710
A880,C1082,3732.21,1198
A881,C416,366722.51,1394
A882,C1420,7366.04,1437
A883,C124,5990.65,1959
A884,C2754,421154.05,935
A885,C150,17393.96,247
A886,C2680,57132.45,1558
A887,C1394,9184.29,1896
A888,C144,26654.82,406
A889,C462,51955.0,1795
A890,C820,42066.7,1839
A891,C2195,28587.68,1417
A892,C1686,29506.18,36
A893,C1070,34760.34,924
A894,C2024,50600.94,1825
A895,C1308,121563.57,150
A896,C2015,16044.35,599
A897,C423,20291.34,534
A898,C2459,13493.66,1243
A899,C1349,19649.94,1568
A900,C409,20688.2,351
A901,C2578,35462.13,1418
A902,C2480,17942.31,194
A903,C1832,203806.06,431
A904,C1071,50629.36,439
A905,C93,38809.61,1651
A906,C2177,59550.95,713
A907,C1769,21659.87,1612
A908,C2436,121053.42,1706
A909,C2354,9143.61,1767
A910,C1474,8619.29,271
A911,C1791,40638.28,789
A912,C1105,30235.57,824
A913,C1077,18344.21,214
A914,C214,11660.06,368
A915,C2150,13085.99,522
A916,C2608,199452.0,1907
A917,C2946,52874.63,223
A918,C2185,2022.95,850
A919,C1404,47323.91,1789
A920,C1077,60502.43,821
A921,C179,60543.11,519
A922,C549,13591.37,922
A923,C2442,36951.24,1079
A924,C350,87842.57,276
A925,C1948,30341.75,121
A926,C2561,15210.26,1951
A927,C1966,22167.41,71
A928,C2705,53903.64,501
A929,C904,8205.26,101
A930,C801,52847.46,1394
A931,C1562,9873.75,132
A932,C2464,24828.86,1831
A933,C1882,13572.93,949
A934,C853,26100.61,1918
A935,C2706,8015.46,1035
A936,C589,14608.52,384
A937,C912,21935.4,1027
A938,C1493,7185.52,555
A939,C444,7930.75,1838
A940,C2434,90162.64,1981
A941,C274,38935.52,570
A942,C2051,22884.68,1392
A943,C136,26136.23,1324
A944,C634,15288.56,1991
A945,C599,41912.51,51
A946,C2547,30531.89,984
A947,C1256,10499.73,157
A948,C1096,18752.08,1244
A949,C726,22808.38,59
A950,C183,27405.89,1893
A951,C2456,5665.77,1601
A952,C670,45383.6,935
A953,C571,19341.85,684
A954,C246,40006.21,1279
A955,C1030,14269.06,546
A956,C365,6308.38,184
A957,C2652,4604.36,774
A958,C143,2782.6,1022
A959,C2432,9301.77,556
A960,C1218,33672.47,398
A961,C1025,114453.7,467
A962,C2792,19161.29,1498
A963,C2145,6203.85,943
A964,C1669,27033.09,112
A965,C703,19733.81,57
A966,C910,36418.62,108
A967,C2854,6657.86,1887
A968,C1777,26665.9,905
A969,C2906,11320.1,1177
A970,C1042,55202.5,505
A971,C1335,11890.96,63
A972,C2997,29207.0,95
A973,C36,33917.88,299
A974,C114,87275.19,468
A975,C2711,16857.69,1513
A976,C1022,14373.1,1104
A977,C39,7875.79,485
A978,C2913,4129.09,966
A979,C419,28292.43,1051
A980,C324,43305.99,1253
A981,C2586,61443.49,1876
A982,C2860,35227.19,1577
A983,C2731,335513.5,1747
A984,C2156,108493.49,1567
