group_id,typology,txn_count,total_amount,unique_accounts
PASS_00378,Pass-Through Transit Hub,2,2900371.49,1
PASS_00509,Pass-Through Transit Hub,3,2899635.91,2
CHARITY_00186,Charity Abuse,26,2894508.9599999995,12
HAWALA_00002,Underground Banking (Hawala),3,2893295.27,3
CHARITY_01732,Charity Abuse,22,2892321.31,7
PASS_00020,Pass-Through Transit Hub,2,2875191.54,1
PASS_00485,Pass-Through Transit Hub,2,2869633.6799999997,1
CHARITY_02086,Charity Abuse,19,2868895.3899999997,6
CHARITY_01271,Charity Abuse,24,2867855.92,14
PASS_00681,Pass-Through Transit Hub,2,2862871.21,1
PASS_00076,Pass-Through Transit Hub,2,2851747.27,1
FUNNEL_00081,Funnel Account Network,15,2851542.71,9
CHARITY_03023,Charity Abuse,23,2847008.0,10
PASS_00688,Pass-Through Transit Hub,2,2840412.99,1
CHARITY_01248,Charity Abuse,20,2836840.7800000003,7
PASS_00301,Charity Abuse; Pass-Through Transit Hub,2,2832866.08,1
CHARITY_00936,Charity Abuse,24,2828132.5199999996,15
PASS_00095,Pass-Through Transit Hub,2,2825124.08,1
PASS_00296,Pass-Through Transit Hub,2,2824120.1,1
PASS_00416,Pass-Through Transit Hub,2,2823386.07,1
CHARITY_01979,Charity Abuse,18,2818189.41,9
CHARITY_00262,Charity Abuse,19,2804998.35,10
PASS_00568,Pass-Through Transit Hub,2,2804333.3,1
CHARITY_01866,Charity Abuse,25,2799815.9,9
PASS_00085,Pass-Through Transit Hub,2,2796248.48,1
PASS_00195,Pass-Through Transit Hub,2,2785853.91,1
PASS_00488,Pass-Through Transit Hub,2,2777996.2800000003,1
PASS_00363,Pass-Through Transit Hub,2,2775300.3499999996,1
CHARITY_02505,Charity Abuse,17,2774913.73,10
CHARITY_01819,Charity Abuse,16,2771487.93,9
PASS_00649,Pass-Through Transit Hub,2,2767914.96,1
PASS_00637,Pass-Through Transit Hub,2,2766472.06,1
PASS_00280,Pass-Through Transit Hub,2,2766207.46,1
CHARITY_02018,Charity Abuse,18,2759858.6,9
PASS_00024,Charity Abuse; Pass-Through Transit Hub,2,2758775.98,1
HAWALA_00003,Underground Banking (Hawala),3,2756350.35,3
CHARITY_02165,Charity Abuse,23,2749301.6799999997,11
CHARITY_02244,Charity Abuse,17,2727069.1599999997,7
CHARITY_03203,Charity Abuse,13,2724487.28,7
PASS_00278,Pass-Through Transit Hub,2,2724035.15,1
PASS_00396,Pass-Through Transit Hub,2,2723292.49,1
PASS_00472,Pass-Through Transit Hub,2,2713791.17,1
MULE_00069,Money Mule Network,19,2713583.99,9
PASS_00469,Pass-Through Transit Hub,2,2700794.3,1
PASS_00080,Pass-Through Transit Hub,2,2698691.17,1
PASS_00638,Pass-Through Transit Hub,2,2697664.44,1
PASS_00608,Pass-Through Transit Hub,2,2688561.16,1
PASS_00519,Pass-Through Transit Hub,2,2687657.54,1
PASS_00213,Pass-Through Transit Hub,2,2687477.91,1
PASS_00426,Pass-Through Transit Hub,2,2682770.45,1
PASS_00547,Pass-Through Transit Hub,2,2676212.67,1
CHARITY_02181,Charity Abuse,19,2674666.9299999997,12
PASS_00321,Pass-Through Transit Hub,2,2671686.19,1
CHARITY_02536,Charity Abuse,22,2662190.9400000004,6
CHARITY_00953,Charity Abuse,20,2645609.5,7
PASS_00328,Pass-Through Transit Hub,2,2644829.8,1
PASS_00110,Pass-Through Transit Hub,2,2628097.58,1
MULE_00020,Money Mule Network,19,2626441.83,10
PASS_00308,Pass-Through Transit Hub,2,2615834.9000000004,1
PASS_00068,Pass-Through Transit Hub,2,2599809.94,1
HAWALA_00004,Underground Banking (Hawala),3,2583409.09,3
PASS_00031,Pass-Through Transit Hub,2,2579114.8899999997,1
HAWALA_00005,Underground Banking (Hawala),3,2578112.74,3
PASS_00392,Pass-Through Transit Hub,2,2572898.1799999997,1
CHARITY_00644,Charity Abuse,23,2572034.78,10
CHARITY_00894,Charity Abuse,21,2568995.46,13
PASS_00422,Pass-Through Transit Hub,2,2565888.24,1
PASS_00224,Pass-Through Transit Hub,2,2563667.42,1
CHARITY_01786,Charity Abuse,24,2546117.97,9
CHARITY_02371,Charity Abuse,16,2528140.75,11
HAWALA_00006,Underground Banking (Hawala),3,2523904.48,3
CHARITY_01526,Charity Abuse,26,2518314.09,8
CHARITY_01183,Charity Abuse,23,2517640.07,12
CHARITY_02399,Charity Abuse,17,2508483.36,9
CHARITY_02798,Charity Abuse,14,2505654.71,6
PASS_00371,Pass-Through Transit Hub,2,2496593.8,1
PASS_00143,Pass-Through Transit Hub,2,2482958.02,1
CHARITY_00847,Charity Abuse,13,2479426.1,11
CHARITY_01163,Charity Abuse,19,2471374.63,5
PASS_00354,Pass-Through Transit Hub,2,2469401.81,1
HRCORR_00290,High-Risk Corridor Transfer,7,2437202.95,1
HRCORR_00517,High-Risk Corridor Transfer,9,2437142.6999999997,1
PASS_00348,Pass-Through Transit Hub,2,2433150.5,1
PASS_00214,Pass-Through Transit Hub,2,2425654.17,1
PASS_00148,Pass-Through Transit Hub,2,2423821.56,1
PASS_00612,Pass-Through Transit Hub,2,2415637.18,1
CHARITY_02000,Charity Abuse,19,2400816.89,7
PASS_00058,Pass-Through Transit Hub,2,2391973.2199999997,1
PASS_00196,Pass-Through Transit Hub,2,2391387.0,1
PASS_00339,Pass-Through Transit Hub,2,2384991.83,1
CHARITY_01752,Charity Abuse,19,2371973.84,8
PASS_00051,Pass-Through Transit Hub,2,2365312.04,1
CHARITY_01390,Charity Abuse,17,2361324.81,8
CHARITY_02755,Charity Abuse,13,2357059.2099999995,4
CHARITY_00314,Charity Abuse,20,2355032.64,11
FUNNEL_00212,Charity Abuse; Funnel Account Network; Pass-Through Transit Hub,2,2346684.81,1
CHARITY_02513,Charity Abuse; Funnel Account Network; Pass-Through Transit Hub,2,2346684.81,1
CHARITY_03041,Charity Abuse; Funnel Account Network,14,2339745.48,6
FUNNEL_00260,Charity Abuse; Funnel Account Network,14,2339745.48,6
FUNNEL_00053,Charity Abuse; Funnel Account Network,16,2330966.37,5
PASS_00016,Pass-Through Transit Hub,2,2328742.87,1
CHARITY_00327,Charity Abuse,20,2315110.92,14
CHARITY_00285,Charity Abuse,15,2310439.0,7
PASS_00682,Pass-Through Transit Hub,2,2307836.9299999997,1
CHARITY_02348,Charity Abuse,18,2307525.83,6
CHARITY_02374,Charity Abuse,14,2305756.46,11
PASS_00376,Pass-Through Transit Hub,2,2302972.66,1
PASS_00447,Pass-Through Transit Hub,2,2300820.74,1
HRCORR_00163,High-Risk Corridor Transfer,6,2300799.94,1
HRCORR_00462,High-Risk Corridor Transfer,7,2297890.09,1
HAWALA_00007,Underground Banking (Hawala),3,2294462.75,3
CHARITY_01844,Charity Abuse,22,2294307.83,15
PASS_00340,Pass-Through Transit Hub,2,2293115.58,1
CHARITY_03046,Charity Abuse,19,2292731.24,11
CHARITY_00642,Charity Abuse,19,2292297.51,7
MULE_00083,Money Mule Network,18,2289126.06,7
CHARITY_00261,Charity Abuse,20,2285404.7399999998,8
HRCORR_00384,High-Risk Corridor Transfer,6,2282770.8,1
CHARITY_01335,Charity Abuse,20,2282503.5,10
CHARITY_02937,Charity Abuse,15,2246467.19,14
CHARITY_01085,Charity Abuse,12,2240582.18,6
HAWALA_00008,Underground Banking (Hawala),3,2237756.89,3
CHARITY_00351,Charity Abuse,17,2237540.33,11
CHARITY_00853,Charity Abuse,17,2235917.65,6
CHARITY_01047,Charity Abuse,15,2234745.16,12
PASS_00508,Pass-Through Transit Hub,2,2229767.54,1
CHARITY_02579,Charity Abuse,17,2224213.11,12
HAWALA_00009,Underground Banking (Hawala),3,2223679.96,3
CHARITY_00054,Charity Abuse,21,2219556.95,9
PASS_00284,Pass-Through Transit Hub,2,2218995.96,1
FUNNEL_00191,Charity Abuse; Funnel Account Network,9,2214254.5300000003,5
CHARITY_02343,Charity Abuse; Funnel Account Network,9,2214254.5300000003,5
PASS_00489,Pass-Through Transit Hub,2,2211919.35,1
PASS_00683,Pass-Through Transit Hub,2,2209654.73,1
PASS_00111,Pass-Through Transit Hub,2,2208691.5,1
PASS_00419,Pass-Through Transit Hub,2,2207329.9,1
PASS_00120,Pass-Through Transit Hub,2,2199532.31,1
FUNNEL_00088,Charity Abuse; Funnel Account Network,16,2197518.1,6
CHARITY_01102,Charity Abuse; Funnel Account Network,16,2197518.1,6
CHARITY_02132,Charity Abuse,15,2192394.33,11
CHARITY_02712,Charity Abuse,19,2191311.77,6
CHARITY_00014,Charity Abuse,19,2185594.2399999998,5
PASS_00667,Pass-Through Transit Hub,3,2179411.42,1
CHARITY_03132,Charity Abuse,18,2173947.4899999998,15
CHARITY_00695,Charity Abuse; Funnel Account Network,15,2172751.0700000003,5
CHARITY_00866,Charity Abuse,27,2170418.17,12
CHARITY_02075,Charity Abuse,20,2165213.87,10
CHARITY_00726,Charity Abuse,18,2162640.92,8
MULE_00057,Money Mule Network,15,2162617.61,7
CHARITY_02804,Charity Abuse,20,2158788.36,12
CHARITY_02342,Charity Abuse,16,2156992.1700000004,9
PASS_00163,Pass-Through Transit Hub,2,2156727.2800000003,1
CHARITY_03167,Charity Abuse,21,2156276.35,11
PASS_00248,Pass-Through Transit Hub,2,2155860.21,1
CHARITY_00088,Charity Abuse,21,2155491.98,10
PASS_00050,Pass-Through Transit Hub,2,2153654.0300000003,1
PASS_00027,Pass-Through Transit Hub,2,2152781.7199999997,1
CHARITY_01001,Charity Abuse,21,2142279.29,12
CHARITY_02701,Charity Abuse,15,2137996.8,10
PASS_00494,Pass-Through Transit Hub,2,2136573.85,1
FUNNEL_00093,Funnel Account Network,25,2135169.27,14
HRCORR_00272,High-Risk Corridor Transfer,5,2134810.24,1
CHARITY_01976,Charity Abuse,23,2130240.5,10
FUNNEL_00019,Funnel Account Network,34,2128773.5700000003,22
HRCORR_00297,High-Risk Corridor Transfer,7,2127772.33,1
CHARITY_01021,Charity Abuse,19,2126960.75,10
PASS_00464,Pass-Through Transit Hub,2,2126269.8899999997,1
CHARITY_01222,Charity Abuse,17,2126216.6500000004,8
PASS_00413,Pass-Through Transit Hub,2,2117969.38,1
HRCORR_00364,High-Risk Corridor Transfer,7,2117506.81,1
PASS_00687,Pass-Through Transit Hub,2,2112306.51,1
CHARITY_02028,Charity Abuse,15,2110631.17,13
HRCORR_00059,High-Risk Corridor Transfer,6,2109502.5,1
PASS_00631,Pass-Through Transit Hub,2,2108556.66,1
PASS_00171,Pass-Through Transit Hub,2,2106654.57,1
PASS_00654,Pass-Through Transit Hub,2,2105020.03,1
MULE_00054,Money Mule Network,20,2101977.2,11
PASS_00707,Pass-Through Transit Hub,2,2100959.77,1
PASS_00478,Pass-Through Transit Hub,2,2100264.16,1
CHARITY_02152,Charity Abuse,21,2098272.84,9
CHARITY_03189,Charity Abuse,18,2096543.31,6
FUNNEL_00259,Charity Abuse; Funnel Account Network,27,2092097.6099999999,23
CHARITY_03035,Charity Abuse; Funnel Account Network,26,2091012.38,23
CHARITY_01292,Charity Abuse,20,2090881.8,11
HAWALA_00011,Underground Banking (Hawala),3,2090657.6,3
PASS_00555,Pass-Through Transit Hub,2,2089998.94,1
PASS_00228,Pass-Through Transit Hub,2,2084347.54,1
PASS_00136,Pass-Through Transit Hub,2,2084139.47,1
PASS_00094,Pass-Through Transit Hub,2,2083875.97,1
CHARITY_02350,Charity Abuse,17,2080287.67,5
CHARITY_00096,Charity Abuse,24,2078215.6199999999,9
MULE_00002,Money Mule Network,19,2078068.93,11
CHARITY_03285,Charity Abuse,21,2076285.53,15
CHARITY_01974,Charity Abuse,19,2075780.3099999998,8
PASS_00112,Pass-Through Transit Hub,2,2072535.75,1
CHARITY_03166,Charity Abuse,30,2067112.1099999999,7
PASS_00314,Charity Abuse; Pass-Through Transit Hub,2,2065022.63,1
CHARITY_01530,Charity Abuse,23,2063101.4,11
CHARITY_03256,Charity Abuse,18,2062652.44,13
HRCORR_00354,High-Risk Corridor Transfer,6,2062615.1600000001,1
PASS_00089,Pass-Through Transit Hub,2,2057131.22,1
CHARITY_02079,Charity Abuse,10,2056900.7,8
CHARITY_02710,Charity Abuse,17,2054448.9400000002,7
PASS_00201,Pass-Through Transit Hub,2,2053641.13,1
CHARITY_00063,Charity Abuse,22,2051277.28,9
CHARITY_02359,Charity Abuse,21,2050854.7999999998,13
FUNNEL_00207,Funnel Account Network,20,2047922.14,9
CHARITY_01313,Charity Abuse,15,2044236.47,9
CHARITY_00160,Charity Abuse,26,2043907.09,13
CHARITY_00583,Charity Abuse,23,2043796.19,11
FUNNEL_00022,Funnel Account Network,26,2041118.39,7
HRCORR_00147,High-Risk Corridor Transfer,5,2040695.71,1
PASS_00486,Pass-Through Transit Hub,2,2039297.76,1
HAWALA_00014,Underground Banking (Hawala),3,2034109.1099999999,3
HRCORR_00105,High-Risk Corridor Transfer,6,2033924.98,1
PASS_00444,Pass-Through Transit Hub,2,2033301.31,1
CHARITY_02265,Charity Abuse,19,2033108.11,13
CHARITY_03138,Charity Abuse,13,2031362.63,6
PASS_00093,Pass-Through Transit Hub,2,2029013.85,1
FUNNEL_00049,Funnel Account Network,16,2028211.64,8
CIRC_00001,Circular Transaction Loop; Underground Banking (Hawala),3,2019880.0299999998,3
HAWALA_00012,Circular Transaction Loop; Underground Banking (Hawala),3,2019880.0299999998,3
PASS_00501,Pass-Through Transit Hub,2,2019508.08,1
CHARITY_00516,Charity Abuse,26,2017717.91,10
CHARITY_02758,Charity Abuse,15,2017542.8100000003,11
CHARITY_02717,Charity Abuse,18,2016215.1500000001,7
PASS_00437,Pass-Through Transit Hub,2,2009465.5699999998,1
HRCORR_00287,High-Risk Corridor Transfer,6,2006491.5499999998,1
HAWALA_00013,Underground Banking (Hawala),3,2006376.4900000002,3
CHARITY_03154,Charity Abuse,23,2005725.41,9
HRCORR_00061,High-Risk Corridor Transfer,5,1990281.61,1
HRCORR_00092,High-Risk Corridor Transfer,6,1985134.53,1
CHARITY_01562,Charity Abuse,15,1982886.56,10
