feature,gain,split
sender_acct_outflow_count_24h,547.2410068511963,12
ip_risk_score,485.86614751815796,18
sender_cust_outflow_amt_1h,467.2973299026489,11
customer_current_risk_score_enc,457.5050992965698,17
beneficial_owner_types_enc,429.170467376709,17
customer_entity_type_enc,365.43487071990967,15
account_category_enc,334.7037601470947,13
receiver_acct_inflow_amt_24h,329.6113004684448,15
account_type_enc,303.331298828125,12
currency_enc,292.15099716186523,6
citizenship_enc,282.36789989471436,11
receiver_acct_outflow_amt_24h,275.63450145721436,11
rule_intra_high_freq,247.18830490112305,4
receiver_acct_inflow_count_24h,234.05899715423584,8
transaction_type_dr_cr_enc,208.5383014678955,7
sender_cust_inflow_amt_1h,196.33389854431152,11
vkyc_flag_enc,185.35150146484375,6
receiver_acct_txn_count_24h,175.83299827575684,8
rule_age_amount_mismatch,169.25979804992676,6
ip_flag_shared_ip,167.4625005722046,7
sender_cust_inflow_amt_24h,154.63702964782715,6
rule_score,152.2953452661137,15
inflow_outflow_volume_balance_ratio_7d,143.38906860351562,9
sender_cust_outflow_amt_24h,140.01197537779808,7
cash_flag_enc,137.93675994873047,6
ip_flag_vpn,120.30560111999512,5
sender_acct_txn_count_1h,116.55699920654297,1
rule_large_intra_individual,116.34169960021973,5
receiver_acct_outflow_amt_1h,115.10671091079712,6
ip_flag_night,110.41030025482178,4
receiver_acct_inflow_amt_1h,92.24780178070068,4
ip_flag_kyc_verified,89.06270122528076,4
sender_cust_txn_count_24h,81.9319200515747,6
sender_acct_txn_count_24h,70.93419933319092,4
residency_enc,67.67330169677734,3
passive_nfe_enc,61.636600494384766,2
sender_cust_inflow_count_24h,58.26058840751648,4
rule_unusual_type_spike,55.714698791503906,2
authentication_method_enc,52.03946018218994,4
rule_unemployed_large,51.071439266204834,4
tax_residency_enc,48.910301208496094,1
sender_cust_outflow_count_24h,44.59572982788086,3
receiver_acct_txn_count_1h,43.99079990386963,3
inflow_outflow_volume_balance_ratio_24h,43.785698890686035,2
merchant_category_code_enc,43.01986026763916,4
refund_chargeback_flag_enc,42.696128845214844,3
rule_high_risk_industry,38.61490058898926,2
rule_vpn_emulator_detected,37.5939998626709,2
rule_off_hours_activity,32.25609016418457,3
rule_sole_prop_personal,22.51110076904297,1
hni_flag_enc,21.658899307250977,1
rule_repeated_counterparty_7d,21.2273006439209,1
non_face_to_face_flag_enc,16.742399215698242,1
rule_low_income_large,16.603500366210938,1
transaction_type_ppi_enc,15.48069953918457,1
temporal_risk,14.8927001953125,1
sender_acct_inflow_count_1h,12.51990032196045,1
account_wallet_status_enc,11.252900123596191,1
rule_remit_then_cash_75pct,0.0,0
rule_credit_then_cash,0.0,0
rule_cross_entity_common,0.0,0
rule_integrated_cash_8_5_10L,0.0,0
rule_large_cr_dr_business,0.0,0
rule_large_cr_dr_individual,0.0,0
rule_multiple_parties_cash,0.0,0
rule_ppi_digital_content,0.0,0
rule_ppi_shared_ip_cluster,0.0,0
rule_ppi_multi_wallet_funding,0.0,0
rule_ppi_shared_contact,0.0,0
rule_ppi_multi_wallet_kyc,0.0,0
rule_ppi_multi_wallet_device,0.0,0
rule_ppi_small_kyc_cross_state,0.0,0
rule_ppi_kyc_behavior_breach,0.0,0
rule_ppi_name_mismatch,0.0,0
rule_ppi_high_risk_mcc_cum,0.0,0
rule_ppi_load_fail_alt,0.0,0
rule_ppi_w2w_layering,0.0,0
rule_ppi_mcc_switch,0.0,0
rule_ppi_multi_source_day,0.0,0
rule_ppi_bene_concentration,0.0,0
rule_ppi_load_source_change,0.0,0
rule_ppi_kyc_expiry_limit,0.0,0
rule_ppi_refund_abuse,0.0,0
rule_ppi_new_bene_burst,0.0,0
rule_ppi_split_transfers,0.0,0
rule_ppi_single_source_load,0.0,0
rule_ppi_multi_bene_day,0.0,0
rule_ppi_high_risk_mcc,0.0,0
rule_ppi_load_then_spend,0.0,0
rule_occupation_mcc_mismatch,0.0,0
rule_nri_suspicious_domestic,0.0,0
rule_minor_anomalous,0.0,0
rule_pep_high_velocity,0.0,0
rule_freelancer_offshore,0.0,0
rule_auth_failure_spike,0.0,0
rule_geo_mismatch_2000km,0.0,0
rule_student_high_value,0.0,0
rule_dormant_credit_50pct,0.0,0
rule_sole_prop_burst,0.0,0
rule_rapid_burst,0.0,0
rule_ppi_cross_state_p2p,0.0,0
rule_ip_geo_change,0.0,0
rule_impossible_travel,0.0,0
rule_shell_company,0.0,0
rule_session_integrity,0.0,0
rule_vpn_emu_new_city,0.0,0
rule_device_hopping,0.0,0
rule_new_device_new_loc,0.0,0
rule_crypto_then_cash_48h,0.0,0
rule_tax_res_mismatch_xborder,0.0,0
rule_auth_degrade_high_risk,0.0,0
rule_multi_channel_24h,0.0,0
rule_early_morning_cluster,0.0,0
rule_large_intra_same_cust,0.0,0
rule_trust_foreign_remit,0.0,0
rule_dormant_activation_gen,0.0,0
rule_high_freq_foreign,0.0,0
rule_ppi_merchant_passthrough,0.0,0
rule_bo_address_mismatch,0.0,0
rule_crypto_nft_large,0.0,0
rule_offshore_entity,0.0,0
rule_dormant_75pct_drain,0.0,0
rule_dormant_cash_30pct,0.0,0
rule_new_indiv_cash_30pct,0.0,0
rule_new_indiv_noncash_50pct,0.0,0
rule_new_biz_noncash_50pct,0.0,0
rule_new_biz_cash_30pct,0.0,0
rule_new_biz_25pct,0.0,0
rule_new_employed_25pct,0.0,0
rule_freq_2x_individual,0.0,0
rule_freq_2x_business,0.0,0
rule_series_credits_7d,0.0,0
rule_dormant_activation,0.0,0
rule_remit_then_transfer,0.0,0
rule_rapid_load_transfer,0.0,0
rule_trust_large_cash,0.0,0
rule_fx_cash_large,0.0,0
rule_large_foreign_biz,0.0,0
rule_large_foreign_indiv,0.0,0
rule_partnership_sleeping,0.0,0
rule_pep_large_any,0.0,0
rule_large_cash_individual,0.0,0
rule_large_cash_business,0.0,0
rule_large_intra_business,0.0,0
rule_ppi_adverse_media,0.0,0
rule_zero_balance_cycling,0.0,0
rule_ppi_negative_list_device,0.0,0
rule_ppi_client_reported,0.0,0
rule_ppi_small_kyc_bal_breach,0.0,0
rule_ppi_small_kyc_load_breach,0.0,0
rule_cc_cash_1L,0.0,0
rule_insurance_lump,0.0,0
rule_loan_repay_cash,0.0,0
rule_balance_parking,0.0,0
rule_tax_haven_remit,0.0,0
rule_negative_list_country,0.0,0
rule_monthly_limit_exhaustion,0.0,0
rule_short_lived_wallet,0.0,0
rule_acct_closed_90d,0.0,0
rule_dormant_business_15d,0.0,0
rule_new_wallet_high_value,0.0,0
credit_summation_period,0.0,0
debit_summation_period,0.0,0
rule_series_debits_7d,0.0,0
rule_round_amount_struct_7d,0.0,0
rule_foreign_remit_4_5L,0.0,0
rule_npo_receipts_8_5_10L,0.0,0
rule_ppi_voucher_abuse,0.0,0
rule_ppi_cashback_cycling,0.0,0
sender_acct_inflow_count_24h,0.0,0
sender_acct_outflow_count_1h,0.0,0
rule_ppi_upi_carousel,0.0,0
sender_cust_outflow_count_1h,0.0,0
sender_cust_inflow_count_1h,0.0,0
sender_cust_txn_count_1h,0.0,0
rule_ppi_cluster_alert,0.0,0
rule_ppi_high_risk_region,0.0,0
receiver_acct_outflow_count_24h,0.0,0
receiver_acct_inflow_count_1h,0.0,0
receiver_acct_outflow_count_1h,0.0,0
rule_ppi_promo_referral,0.0,0
minor_flag_enc,0.0,0
ip_flag_geo_mismatch,0.0,0
ip_flag_emulator,0.0,0
vpn_flag_enc,0.0,0
load_instrument_type_enc,0.0,0
customer_type_enc,0.0,0
transaction_mode_channel_ppi_enc,0.0,0
nationality_enc,0.0,0
pep_flag_enc,0.0,0
wallet_kyc_category_enc,0.0,0
emulator_flag_enc,0.0,0
source_of_funds_wallet_enc,0.0,0
