feature,gain,split,is_rule
rule_fx_cash_large,0.0,0,True
rule_freq_2x_individual,0.0,0,True
rule_freq_2x_business,0.0,0,True
rule_high_freq_foreign,0.0,0,True
rule_insurance_lump,0.0,0,True
rule_impossible_travel,0.0,0,True
rule_integrated_cash_8_5_10L,0.0,0,True
rule_ip_geo_change,0.0,0,True
rule_ppi_bene_concentration,0.0,0,True
rule_ppi_adverse_media,0.0,0,True
rule_pep_high_velocity,0.0,0,True
rule_partnership_sleeping,0.0,0,True
rule_occupation_mcc_mismatch,0.0,0,True
rule_new_indiv_noncash_50pct,0.0,0,True
rule_new_wallet_high_value,0.0,0,True
rule_npo_receipts_8_5_10L,0.0,0,True
rule_new_employed_25pct,0.0,0,True
rule_new_device_new_loc,0.0,0,True
ip_flag_geo_mismatch,0.0,0,False
rule_tax_res_mismatch_xborder,0.0,0,True
rule_shell_company,0.0,0,True
rule_session_integrity,0.0,0,True
rule_sole_prop_burst,0.0,0,True
rule_short_lived_wallet,0.0,0,True
rule_ppi_voucher_abuse,0.0,0,True
rule_rapid_load_transfer,0.0,0,True
rule_trust_large_cash,0.0,0,True
rule_student_high_value,0.0,0,True
rule_trust_foreign_remit,0.0,0,True
rule_vpn_emu_new_city,0.0,0,True
rule_rapid_burst,0.0,0,True
rule_ppi_w2w_layering,0.0,0,True
rule_round_amount_struct_7d,0.0,0,True
rule_remit_then_transfer,0.0,0,True
rule_series_credits_7d,0.0,0,True
rule_series_debits_7d,0.0,0,True
rule_ppi_small_kyc_cross_state,0.0,0,True
rule_ppi_small_kyc_load_breach,0.0,0,True
rule_ppi_split_transfers,0.0,0,True
rule_ppi_upi_carousel,0.0,0,True
rule_ppi_multi_source_day,0.0,0,True
rule_ppi_multi_bene_day,0.0,0,True
rule_ppi_merchant_passthrough,0.0,0,True
rule_ppi_mcc_switch,0.0,0,True
rule_ppi_load_then_spend,0.0,0,True
rule_ppi_load_source_change,0.0,0,True
rule_ppi_load_fail_alt,0.0,0,True
rule_ppi_high_risk_region,0.0,0,True
rule_ppi_cross_state_p2p,0.0,0,True
rule_ppi_high_risk_mcc_cum,0.0,0,True
rule_ppi_high_risk_mcc,0.0,0,True
rule_ppi_digital_content,0.0,0,True
rule_ppi_client_reported,0.0,0,True
rule_ppi_multi_wallet_kyc,0.0,0,True
rule_ppi_multi_wallet_funding,0.0,0,True
rule_ppi_multi_wallet_device,0.0,0,True
rule_ppi_cashback_cycling,0.0,0,True
rule_ppi_cluster_alert,0.0,0,True
rule_remit_then_cash_75pct,0.0,0,True
rule_ppi_name_mismatch,0.0,0,True
rule_ppi_negative_list_device,0.0,0,True
rule_ppi_new_bene_burst,0.0,0,True
rule_ppi_promo_referral,0.0,0,True
rule_ppi_refund_abuse,0.0,0,True
rule_ppi_shared_contact,0.0,0,True
rule_ppi_shared_ip_cluster,0.0,0,True
rule_ppi_single_source_load,0.0,0,True
rule_ppi_small_kyc_bal_breach,0.0,0,True
receiver_acct_inflow_count_1h,0.0,0,False
sender_cust_inflow_count_1h,0.0,0,False
sender_cust_outflow_count_1h,0.0,0,False
sender_cust_txn_count_1h,0.0,0,False
