beneficiary_id,beneficiary_type,beneficiary_country_risk,shell_jurisdiction,shell_age_days,ubo_disclosed,shell_newly_incorporated
B155,individual,high,,,,0
B156,business,low,,,,0
B157,individual,low,,,,0
B158,business,low,,,,0
B159,business,medium,,,,0
B160,business,medium,,,,0
B161,business,low,,,,0
B162,individual,high,,,,0
B163,individual,low,,,,0
B164,individual,medium,,,,0
B165,individual,low,,,,0
B166,individual,low,,,,0
B167,business,medium,,,,0
B168,individual,medium,,,,0
B169,individual,low,,,,0
B170,shell_company,medium,Seychelles,1646,0,0
B171,individual,low,,,,0
B172,individual,low,,,,0
B173,individual,high,,,,0
B174,individual,medium,,,,0
B175,business,medium,,,,0
B176,individual,low,,,,0
B177,individual,low,,,,0
B178,individual,high,,,,0
B179,individual,low,,,,0
B180,individual,low,,,,0
B181,individual,high,,,,0
B182,individual,medium,,,,0
B183,individual,medium,,,,0
B184,individual,low,,,,0
B185,offshore,medium,,,,0
B186,individual,high,,,,0
B187,business,medium,,,,0
B188,business,low,,,,0
B189,individual,high,,,,0
B190,individual,low,,,,0
B191,shell_company,medium,Luxembourg,860,0,0
B192,individual,medium,,,,0
B193,crypto,low,,,,0
B194,individual,low,,,,0
B195,individual,low,,,,0
B196,individual,low,,,,0
B197,individual,low,,,,0
B198,individual,low,,,,0
B199,individual,medium,,,,0
B200,business,low,,,,0
B201,individual,medium,,,,0
B202,business,low,,,,0
B203,individual,low,,,,0
B204,individual,low,,,,0
B205,individual,low,,,,0
B206,individual,low,,,,0
B207,individual,medium,,,,0
B208,individual,low,,,,0
B209,offshore,low,,,,0
B210,business,medium,,,,0
B211,shell_company,high,Luxembourg,735,0,0
B212,individual,medium,,,,0
B213,individual,low,,,,0
B214,business,medium,,,,0
B215,individual,low,,,,0
B216,business,low,,,,0
B217,individual,medium,,,,0
B218,individual,low,,,,0
B219,business,medium,,,,0
B220,shell_company,medium,Luxembourg,347,1,0
B221,individual,low,,,,0
B222,individual,low,,,,0
B223,business,low,,,,0
B224,business,low,,,,0
B225,individual,low,,,,0
B226,individual,low,,,,0
B227,business,low,,,,0
B228,individual,medium,,,,0
B229,individual,high,,,,0
B230,individual,high,,,,0
B231,crypto,low,,,,0
B232,business,low,,,,0
B233,individual,low,,,,0
B234,individual,medium,,,,0
B235,business,low,,,,0
B236,crypto,low,,,,0
B237,individual,low,,,,0
B238,individual,medium,,,,0
B239,crypto,low,,,,0
B240,business,low,,,,0
B241,individual,medium,,,,0
B242,business,low,,,,0
B243,individual,low,,,,0
B244,crypto,low,,,,0
B245,individual,low,,,,0
B246,business,low,,,,0
B247,individual,medium,,,,0
B248,individual,medium,,,,0
B249,individual,low,,,,0
B250,crypto,low,,,,0
B251,business,low,,,,0
B252,individual,low,,,,0
B253,individual,medium,,,,0
B254,individual,low,,,,0
B255,individual,medium,,,,0
B256,shell_company,high,BVI,60,0,1
B257,individual,low,,,,0
B258,individual,medium,,,,0
B259,individual,high,,,,0
B260,individual,low,,,,0
B261,individual,medium,,,,0
B262,individual,low,,,,0
B263,individual,low,,,,0
B264,individual,medium,,,,0
B265,individual,medium,,,,0
B266,individual,medium,,,,0
B267,individual,low,,,,0
B268,business,low,,,,0
B269,individual,low,,,,0
B270,individual,medium,,,,0
B271,business,low,,,,0
B272,individual,high,,,,0
B273,individual,low,,,,0
B274,business,medium,,,,0
B275,individual,low,,,,0
B276,individual,high,,,,0
B277,individual,medium,,,,0
B278,business,medium,,,,0
B279,business,low,,,,0
B280,individual,low,,,,0
B281,shell_company,high,Seychelles,1226,0,0
B282,offshore,medium,,,,0
B283,individual,low,,,,0
B284,shell_company,high,BVI,1338,0,0
B285,crypto,low,,,,0
B286,offshore,medium,,,,0
B287,shell_company,medium,Luxembourg,276,0,0
B288,shell_company,medium,Luxembourg,76,1,1
B289,offshore,low,,,,0
B290,individual,low,,,,0
B291,individual,medium,,,,0
B292,individual,low,,,,0
B293,business,low,,,,0
B294,individual,high,,,,0
B295,individual,high,,,,0
B296,shell_company,high,BVI,1040,1,0
B297,business,low,,,,0
B298,business,low,,,,0
B299,shell_company,high,Seychelles,1561,1,0
B300,individual,high,,,,0
B301,individual,low,,,,0
B302,business,low,,,,0
B303,individual,low,,,,0
B304,individual,medium,,,,0
B305,individual,low,,,,0
B306,individual,low,,,,0
B307,individual,low,,,,0
B308,individual,low,,,,0
B309,individual,low,,,,0
B310,individual,high,,,,0
B311,offshore,medium,,,,0
B312,individual,medium,,,,0
B313,individual,low,,,,0
B314,offshore,medium,,,,0
B315,individual,low,,,,0
B316,offshore,medium,,,,0
B317,shell_company,medium,BVI,374,1,0
B318,business,medium,,,,0
B319,shell_company,high,Panama,366,0,0
B320,business,medium,,,,0
B321,business,medium,,,,0
B322,individual,low,,,,0
B323,crypto,low,,,,0
B324,crypto,medium,,,,0
B325,individual,medium,,,,0
B326,business,high,,,,0
B327,shell_company,high,BVI,999,0,0
B328,individual,medium,,,,0
B329,business,medium,,,,0
B330,individual,high,,,,0
B331,individual,medium,,,,0
B332,individual,medium,,,,0
B333,individual,medium,,,,0
B334,offshore,low,,,,0
B335,business,medium,,,,0
B336,crypto,high,,,,0
B337,crypto,low,,,,0
B338,individual,low,,,,0
B339,business,low,,,,0
B340,business,low,,,,0
B341,business,medium,,,,0
B342,individual,low,,,,0
B343,offshore,high,,,,0
B344,business,low,,,,0
B345,individual,low,,,,0
B346,offshore,low,,,,0
B347,individual,low,,,,0
B348,individual,medium,,,,0
B349,individual,high,,,,0
B350,individual,medium,,,,0
B351,offshore,low,,,,0
B352,individual,medium,,,,0
B353,individual,low,,,,0
B354,individual,low,,,,0
B355,individual,high,,,,0
B356,individual,low,,,,0
B357,individual,low,,,,0
B358,business,low,,,,0
B359,individual,low,,,,0
B360,business,low,,,,0
B361,business,low,,,,0
B362,individual,low,,,,0
B363,individual,medium,,,,0
B364,individual,medium,,,,0
B365,individual,medium,,,,0
B366,individual,low,,,,0
B367,individual,low,,,,0
B368,individual,high,,,,0
B369,individual,high,,,,0
B370,business,low,,,,0
B371,business,low,,,,0
B372,individual,medium,,,,0
B373,offshore,low,,,,0
B374,individual,low,,,,0
B375,individual,low,,,,0
B376,individual,high,,,,0
B377,business,low,,,,0
B378,individual,medium,,,,0
B379,individual,low,,,,0
B380,individual,high,,,,0
B381,individual,low,,,,0
B382,individual,low,,,,0
B383,business,low,,,,0
B384,shell_company,high,Cayman,1797,1,0
B385,business,low,,,,0
B386,individual,low,,,,0
B387,individual,low,,,,0
B388,business,low,,,,0
B389,individual,low,,,,0
B390,individual,low,,,,0
B391,individual,low,,,,0
B392,individual,medium,,,,0
B393,business,low,,,,0
B394,individual,medium,,,,0
B395,business,medium,,,,0
B396,shell_company,high,Seychelles,1060,1,0
B397,shell_company,medium,BVI,954,0,0
B398,individual,low,,,,0
B399,crypto,low,,,,0
B400,individual,high,,,,0
B401,crypto,low,,,,0
B402,individual,medium,,,,0
B403,business,high,,,,0
B404,individual,low,,,,0
B405,individual,high,,,,0
B406,individual,low,,,,0
B407,individual,low,,,,0
B408,business,medium,,,,0
B409,individual,low,,,,0
B410,individual,medium,,,,0
B411,individual,medium,,,,0
B412,individual,medium,,,,0
B413,business,high,,,,0
B414,shell_company,high,Cayman,1123,0,0
B415,individual,medium,,,,0
B416,individual,low,,,,0
B417,business,medium,,,,0
B418,individual,low,,,,0
B419,individual,low,,,,0
B420,offshore,low,,,,0
B421,individual,medium,,,,0
B422,business,medium,,,,0
B423,crypto,low,,,,0
B424,individual,low,,,,0
B425,crypto,high,,,,0
B426,individual,high,,,,0
B427,individual,low,,,,0
B428,individual,low,,,,0
B429,individual,low,,,,0
B430,individual,medium,,,,0
B431,business,low,,,,0
B432,individual,high,,,,0
B433,individual,low,,,,0
B434,individual,low,,,,0
B435,individual,low,,,,0
B436,business,medium,,,,0
B437,offshore,medium,,,,0
B438,individual,low,,,,0
B439,business,medium,,,,0
B440,shell_company,high,Singapore,829,0,0
B441,business,low,,,,0
B442,business,low,,,,0
B443,individual,low,,,,0
B444,business,low,,,,0
B445,offshore,low,,,,0
B446,individual,high,,,,0
B447,individual,medium,,,,0
B448,shell_company,medium,Mauritius,403,0,0
B449,individual,high,,,,0
B450,individual,low,,,,0
B451,business,low,,,,0
B452,individual,low,,,,0
B453,business,medium,,,,0
B454,business,medium,,,,0
B455,individual,low,,,,0
B456,business,low,,,,0
B457,individual,high,,,,0
B458,individual,low,,,,0
B459,crypto,low,,,,0
B460,individual,low,,,,0
B461,shell_company,medium,BVI,1485,1,0
B462,business,low,,,,0
B463,individual,low,,,,0
B464,individual,low,,,,0
B465,shell_company,high,Cayman,310,0,0
B466,crypto,low,,,,0
B467,individual,low,,,,0
B468,individual,low,,,,0
B469,individual,medium,,,,0
B470,crypto,high,,,,0
B471,individual,low,,,,0
B472,business,high,,,,0
B473,individual,low,,,,0
B474,offshore,low,,,,0
B475,business,low,,,,0
B476,crypto,low,,,,0
B477,business,low,,,,0
B478,business,low,,,,0
B479,shell_company,medium,Luxembourg,124,1,1
B480,business,low,,,,0
B481,business,medium,,,,0
B482,individual,low,,,,0
B483,business,medium,,,,0
B484,individual,medium,,,,0
B485,individual,low,,,,0
B486,individual,low,,,,0
B487,crypto,low,,,,0
B488,business,low,,,,0
B489,individual,low,,,,0
B490,individual,low,,,,0
B491,individual,medium,,,,0
B492,business,high,,,,0
B493,individual,low,,,,0
B494,business,low,,,,0
B495,business,low,,,,0
B496,individual,high,,,,0
B497,shell_company,medium,Cayman,1287,1,0
B498,individual,high,,,,0
B499,business,low,,,,0
B500,crypto,low,,,,0
B501,offshore,low,,,,0
B502,individual,low,,,,0
B503,individual,low,,,,0
B504,individual,low,,,,0
B505,crypto,low,,,,0
B506,business,high,,,,0
B507,offshore,low,,,,0
B508,crypto,low,,,,0
B509,individual,low,,,,0
B510,shell_company,high,Singapore,168,0,1
B511,business,low,,,,0
B512,business,low,,,,0
B513,shell_company,medium,Mauritius,1282,0,0
B514,individual,medium,,,,0
B515,individual,low,,,,0
B516,crypto,medium,,,,0
B517,individual,medium,,,,0
B518,business,medium,,,,0
B519,individual,low,,,,0
B520,individual,low,,,,0
B521,individual,low,,,,0
B522,individual,low,,,,0
B523,offshore,low,,,,0
B524,individual,medium,,,,0
B525,business,medium,,,,0
B526,individual,low,,,,0
B527,shell_company,medium,Panama,115,0,1
B528,individual,low,,,,0
B529,individual,high,,,,0
B530,individual,high,,,,0
B531,individual,low,,,,0
B532,shell_company,high,Luxembourg,794,0,0
B533,business,low,,,,0
B534,individual,low,,,,0
B535,individual,medium,,,,0
B536,individual,low,,,,0
B537,individual,low,,,,0
B538,individual,medium,,,,0
B539,crypto,low,,,,0
B540,shell_company,high,Panama,1426,0,0
B541,individual,high,,,,0
B542,offshore,medium,,,,0
B543,individual,low,,,,0
B544,business,low,,,,0
B545,individual,medium,,,,0
B546,individual,low,,,,0
B547,individual,high,,,,0
B548,individual,low,,,,0
B549,individual,low,,,,0
B550,crypto,medium,,,,0
B551,individual,low,,,,0
B552,individual,low,,,,0
B553,individual,low,,,,0
B554,individual,low,,,,0
B555,individual,low,,,,0
B556,individual,low,,,,0
B557,business,low,,,,0
B558,business,low,,,,0
B559,individual,low,,,,0
B560,individual,low,,,,0
B561,individual,low,,,,0
B562,shell_company,high,Singapore,1671,0,0
B563,shell_company,high,BVI,1008,1,0
B564,individual,low,,,,0
B565,individual,low,,,,0
B566,individual,medium,,,,0
B567,crypto,medium,,,,0
B568,business,low,,,,0
B569,individual,low,,,,0
B570,business,low,,,,0
B571,individual,low,,,,0
B572,individual,medium,,,,0
B573,business,low,,,,0
B574,business,low,,,,0
B575,offshore,low,,,,0
B576,individual,medium,,,,0
B577,business,low,,,,0
B578,individual,low,,,,0
B579,business,low,,,,0
B580,individual,medium,,,,0
B581,shell_company,high,Panama,1172,0,0
B582,individual,low,,,,0
B583,business,high,,,,0
B584,individual,low,,,,0
B585,individual,medium,,,,0
B586,business,low,,,,0
B587,business,high,,,,0
B588,business,low,,,,0
B589,business,low,,,,0
B590,business,low,,,,0
B591,individual,medium,,,,0
B592,business,low,,,,0
B593,individual,medium,,,,0
B594,individual,medium,,,,0
B595,individual,high,,,,0
B596,crypto,medium,,,,0
B597,individual,low,,,,0
B598,crypto,medium,,,,0
B599,individual,medium,,,,0
B600,business,medium,,,,0
B601,individual,low,,,,0
B602,individual,low,,,,0
B603,individual,low,,,,0
B604,individual,low,,,,0
B605,offshore,low,,,,0
B606,individual,low,,,,0
B607,offshore,high,,,,0
B608,business,low,,,,0
B609,individual,low,,,,0
B610,individual,low,,,,0
B611,shell_company,high,BVI,1645,0,0
B612,individual,medium,,,,0
B613,business,low,,,,0
B614,individual,high,,,,0
B615,individual,medium,,,,0
B616,individual,medium,,,,0
B617,individual,high,,,,0
B618,individual,medium,,,,0
B619,individual,medium,,,,0
B620,individual,low,,,,0
B621,shell_company,high,Seychelles,527,1,0
B622,individual,low,,,,0
B623,business,medium,,,,0
B624,offshore,medium,,,,0
B625,individual,low,,,,0
B626,business,medium,,,,0
B627,business,low,,,,0
B628,individual,low,,,,0
B629,business,high,,,,0
B630,crypto,medium,,,,0
B631,individual,low,,,,0
B632,individual,low,,,,0
B633,business,low,,,,0
B634,shell_company,high,Cayman,1640,1,0
B635,individual,low,,,,0
B636,individual,low,,,,0
B637,business,low,,,,0
B638,individual,low,,,,0
B639,shell_company,high,BVI,886,0,0
B640,offshore,low,,,,0
B641,individual,medium,,,,0
B642,individual,low,,,,0
B643,offshore,medium,,,,0
B644,individual,medium,,,,0
B645,individual,medium,,,,0
B646,individual,low,,,,0
B647,crypto,low,,,,0
B648,individual,low,,,,0
B649,individual,low,,,,0
B650,business,low,,,,0
B651,individual,high,,,,0
B652,shell_company,high,Singapore,1487,1,0
B653,individual,low,,,,0
B654,individual,low,,,,0
B655,individual,medium,,,,0
B656,individual,low,,,,0
B657,shell_company,high,BVI,505,1,0
B658,business,medium,,,,0
B659,crypto,medium,,,,0
B660,individual,medium,,,,0
B661,individual,medium,,,,0
B662,business,low,,,,0
B663,individual,low,,,,0
B664,individual,medium,,,,0
B665,individual,low,,,,0
B666,business,low,,,,0
B667,business,low,,,,0
B668,individual,medium,,,,0
B669,individual,low,,,,0
B670,business,high,,,,0
B671,shell_company,medium,Singapore,1317,0,0
B672,shell_company,high,BVI,1392,1,0
B673,individual,low,,,,0
B674,crypto,low,,,,0
B675,individual,low,,,,0
B676,crypto,medium,,,,0
B677,business,low,,,,0
B678,individual,medium,,,,0
B679,individual,high,,,,0
B680,individual,low,,,,0
B681,individual,low,,,,0
B682,individual,low,,,,0
B683,crypto,low,,,,0
B684,crypto,low,,,,0
B685,individual,low,,,,0
B686,individual,low,,,,0
B687,individual,high,,,,0
B688,individual,low,,,,0
B689,business,high,,,,0
B690,shell_company,high,BVI,1076,0,0
B691,business,high,,,,0
B692,shell_company,high,BVI,1024,0,0
B693,crypto,low,,,,0
B694,crypto,low,,,,0
B695,individual,medium,,,,0
B696,offshore,low,,,,0
B697,individual,low,,,,0
B698,individual,medium,,,,0
B699,individual,high,,,,0
B700,shell_company,high,Mauritius,1650,1,0
B701,individual,medium,,,,0
B702,individual,low,,,,0
B703,individual,high,,,,0
B704,individual,low,,,,0
B705,crypto,low,,,,0
B706,shell_company,medium,Cayman,1686,0,0
B707,shell_company,medium,BVI,150,0,1
B708,offshore,low,,,,0
B709,crypto,low,,,,0
B710,individual,low,,,,0
B711,individual,medium,,,,0
B712,crypto,low,,,,0
B713,individual,low,,,,0
B714,offshore,high,,,,0
B715,business,low,,,,0
B716,crypto,high,,,,0
B717,business,low,,,,0
B718,business,high,,,,0
B719,individual,low,,,,0
B720,individual,high,,,,0
B721,business,low,,,,0
B722,offshore,low,,,,0
B723,individual,low,,,,0
B724,shell_company,medium,Luxembourg,1266,0,0
B725,individual,low,,,,0
B726,individual,low,,,,0
B727,shell_company,high,Seychelles,231,0,0
B728,individual,medium,,,,0
B729,business,high,,,,0
B730,individual,medium,,,,0
B731,shell_company,medium,Cayman,68,0,1
B732,business,high,,,,0
B733,individual,low,,,,0
B734,individual,low,,,,0
B735,business,medium,,,,0
B736,individual,low,,,,0
B737,offshore,low,,,,0
B738,individual,high,,,,0
B739,business,low,,,,0
B740,individual,low,,,,0
B741,individual,low,,,,0
B742,individual,low,,,,0
B743,crypto,medium,,,,0
B744,individual,medium,,,,0
B745,individual,high,,,,0
B746,offshore,low,,,,0
B747,individual,medium,,,,0
B748,crypto,low,,,,0
B749,business,high,,,,0
B750,individual,medium,,,,0
B751,crypto,low,,,,0
B752,individual,high,,,,0
B753,business,low,,,,0
B754,business,low,,,,0
B755,business,low,,,,0
B756,individual,low,,,,0
B757,business,medium,,,,0
B758,individual,medium,,,,0
B759,shell_company,high,Cayman,139,0,1
B760,shell_company,high,Panama,1268,0,0
B761,individual,medium,,,,0
B762,crypto,medium,,,,0
B763,individual,low,,,,0
B764,individual,low,,,,0
B765,business,low,,,,0
B766,shell_company,medium,BVI,1737,0,0
B767,individual,low,,,,0
B768,individual,low,,,,0
B769,business,low,,,,0
B770,individual,low,,,,0
B771,business,medium,,,,0
B772,individual,low,,,,0
B773,individual,medium,,,,0
B774,individual,low,,,,0
B775,individual,low,,,,0
B776,business,low,,,,0
B777,individual,medium,,,,0
B778,individual,medium,,,,0
B779,individual,high,,,,0
B780,business,high,,,,0
B781,business,low,,,,0
B782,individual,medium,,,,0
B783,individual,high,,,,0
B784,individual,low,,,,0
B785,individual,medium,,,,0
B786,business,low,,,,0
B787,individual,high,,,,0
B788,shell_company,medium,Cayman,998,0,0
B789,individual,high,,,,0
B790,business,medium,,,,0
B791,crypto,high,,,,0
B792,shell_company,high,Seychelles,891,0,0
B793,shell_company,high,BVI,1317,0,0
B794,individual,low,,,,0
B795,business,low,,,,0
B796,individual,medium,,,,0
B797,business,low,,,,0
B798,individual,low,,,,0
B799,shell_company,high,Luxembourg,391,0,0
B800,shell_company,high,Seychelles,1567,0,0
B801,shell_company,high,Luxembourg,657,1,0
B802,individual,low,,,,0
B803,business,low,,,,0
B804,shell_company,high,Cayman,1087,0,0
B805,individual,low,,,,0
B806,business,low,,,,0
B807,shell_company,high,Mauritius,469,0,0
B808,business,medium,,,,0
B809,offshore,medium,,,,0
B810,shell_company,high,Seychelles,711,0,0
B811,shell_company,high,Singapore,607,1,0
B812,business,low,,,,0
B813,business,high,,,,0
B814,crypto,low,,,,0
B815,individual,high,,,,0
B816,individual,low,,,,0
B817,individual,medium,,,,0
B818,individual,low,,,,0
B819,business,medium,,,,0
B820,individual,high,,,,0
B821,shell_company,high,Seychelles,796,0,0
B822,individual,medium,,,,0
B823,individual,low,,,,0
B824,individual,low,,,,0
B825,business,low,,,,0
B826,individual,low,,,,0
B827,crypto,low,,,,0
B828,individual,low,,,,0
B829,individual,low,,,,0
B830,offshore,medium,,,,0
B831,business,medium,,,,0
B832,individual,low,,,,0
B833,business,low,,,,0
B834,business,low,,,,0
B835,individual,low,,,,0
B836,crypto,medium,,,,0
B837,individual,low,,,,0
B838,shell_company,medium,Mauritius,1661,0,0
B839,business,high,,,,0
B840,individual,low,,,,0
B841,business,low,,,,0
B842,shell_company,high,Cayman,1118,0,0
B843,individual,low,,,,0
B844,offshore,medium,,,,0
B845,crypto,low,,,,0
B846,business,medium,,,,0
B847,individual,low,,,,0
B848,business,medium,,,,0
B849,individual,low,,,,0
B850,individual,low,,,,0
B851,business,medium,,,,0
B852,individual,low,,,,0
B853,individual,medium,,,,0
B854,business,high,,,,0
B855,business,low,,,,0
B856,individual,low,,,,0
B857,offshore,high,,,,0
B858,individual,low,,,,0
B859,individual,low,,,,0
B860,individual,low,,,,0
B861,individual,high,,,,0
B862,business,medium,,,,0
B863,shell_company,high,Mauritius,293,1,0
B864,business,low,,,,0
B865,individual,low,,,,0
B866,individual,low,,,,0
B867,individual,medium,,,,0
B868,individual,medium,,,,0
B869,shell_company,high,Mauritius,409,0,0
B870,individual,low,,,,0
B871,individual,low,,,,0
B872,business,medium,,,,0
B873,individual,low,,,,0
B874,crypto,high,,,,0
B875,business,low,,,,0
B876,individual,low,,,,0
B877,crypto,low,,,,0
B878,crypto,high,,,,0
B879,individual,low,,,,0
B880,shell_company,medium,Delaware,1531,1,0
B881,individual,low,,,,0
B882,business,medium,,,,0
B883,individual,high,,,,0
B884,individual,medium,,,,0
B885,individual,low,,,,0
B886,individual,low,,,,0
B887,individual,low,,,,0
B888,individual,low,,,,0
B889,individual,low,,,,0
B890,business,low,,,,0
B891,individual,high,,,,0
B892,individual,low,,,,0
B893,individual,medium,,,,0
B894,individual,medium,,,,0
B895,individual,low,,,,0
B896,shell_company,high,BVI,339,0,0
B897,crypto,low,,,,0
B898,crypto,low,,,,0
B899,business,medium,,,,0
B900,individual,low,,,,0
B901,individual,high,,,,0
B902,business,low,,,,0
B903,individual,low,,,,0
B904,business,low,,,,0
B905,shell_company,high,Cayman,1486,0,0
B906,offshore,high,,,,0
B907,individual,low,,,,0
B908,business,low,,,,0
B909,individual,high,,,,0
B910,business,low,,,,0
B911,individual,low,,,,0
B912,individual,low,,,,0
B913,crypto,low,,,,0
B914,business,medium,,,,0
B915,crypto,high,,,,0
B916,individual,low,,,,0
B917,business,medium,,,,0
B918,shell_company,high,Cayman,1160,0,0
B919,shell_company,medium,BVI,1200,0,0
B920,individual,medium,,,,0
B921,business,medium,,,,0
B922,business,high,,,,0
B923,individual,high,,,,0
B924,business,low,,,,0
B925,individual,low,,,,0
B926,shell_company,medium,BVI,1512,1,0
B927,individual,medium,,,,0
B928,individual,high,,,,0
B929,individual,low,,,,0
B930,individual,low,,,,0
B931,individual,medium,,,,0
B932,crypto,low,,,,0
B933,business,low,,,,0
B934,business,low,,,,0
B935,business,medium,,,,0
B936,business,medium,,,,0
B937,individual,low,,,,0
B938,business,low,,,,0
B939,business,low,,,,0
B940,individual,medium,,,,0
B941,business,low,,,,0
B942,individual,low,,,,0
B943,shell_company,medium,Panama,532,1,0
B944,individual,low,,,,0
B945,business,low,,,,0
B946,business,low,,,,0
B947,individual,low,,,,0
B948,individual,medium,,,,0
B949,individual,low,,,,0
B950,crypto,high,,,,0
B951,individual,low,,,,0
B952,individual,low,,,,0
B953,offshore,low,,,,0
B954,shell_company,medium,Delaware,937,0,0
B955,individual,medium,,,,0
B956,individual,low,,,,0
B957,business,high,,,,0
B958,individual,high,,,,0
B959,individual,low,,,,0
B960,crypto,low,,,,0
B961,business,medium,,,,0
B962,business,low,,,,0
B963,individual,medium,,,,0
B964,individual,medium,,,,0
B965,shell_company,medium,BVI,205,0,0
B966,business,low,,,,0
B967,business,low,,,,0
B968,crypto,medium,,,,0
B969,individual,high,,,,0
B970,business,low,,,,0
B971,shell_company,medium,Seychelles,1071,0,0
B972,individual,low,,,,0
B973,individual,medium,,,,0
B974,individual,medium,,,,0
B975,business,high,,,,0
B976,business,low,,,,0
B977,individual,low,,,,0
B978,individual,low,,,,0
B979,individual,low,,,,0
B980,individual,low,,,,0
B981,offshore,low,,,,0
B982,business,high,,,,0
B983,business,medium,,,,0
B984,individual,low,,,,0
B985,shell_company,medium,BVI,1470,0,0
B986,individual,medium,,,,0
B987,individual,medium,,,,0
B988,individual,medium,,,,0
B989,shell_company,high,BVI,1428,0,0
B990,business,low,,,,0
B991,individual,low,,,,0
B992,business,high,,,,0
B993,shell_company,medium,BVI,827,0,0
